Original_English,Original_Hindi,Translated_Text,Input_Emotion,Translated_Emotion,Confidence_Deviation
"It is no more than a suggestion, but it is worth pondering.","यह केवल एक सुझाव मात्र था, किंतु है यह विचारणीय। ","यह एक सुझाव के अलावा और कोई नहीं है, लेकिन यह विचार करने के योग्य है ।",surprise,surprise,0.08530592918395996
crisis,आपत्,संकट,surprise,surprise,0.14540892839431763
The State also has two major river systems - Mahanadi and Godawari and their tributaries that form a network of 3573 kms.,"राज्य में दो मुख्य नदी तंत्र भी हैं, महानदी तथा गोदावरी और उनकी सहायक नदियां जो 3573 कि. मी. के नेटवर्क का निर्माण करती हैं। ","इस राज्य में दो बड़ी नदी - व्यवस्थाएँ भी हैं और परमेश्‍वर के पास एक छोटी - सी नदी है, जो 3573 किलोमीटर की दूरी बनाती है ।",joy,surprise,0.04439285397529602
"Besides women members of the family, almost all the household articles come within its scope.",दायरे में परिवार की स्त्रियों से लेकर सभी घरेलू सामान तक आ जाते हैं। ,"इसके अलावा, परिवार के सदस्यों के अलावा, लगभग सभी परिवार के सभी लेख उसके विस्तार में आते हैं ।",surprise,surprise,0.015648216009140015
We have to attract meritorious students for doing PhD.,हमें पी-एच. डी. करने के लिए मेधावी विद्यार्थियों को आर्कषत करना होगा। ,हमें फॆडीड करने के लिए अच्छे विद्यार्थियों को आकर्षित करना होगा.,surprise,surprise,0.15231743454933167
"So obviously if you have some energy, you do some work,","तो जाहिर है यदि आप कुछ ऊर्जा है, तो आपको कुछ ऐसा काम, ","तो जाहिर है कि अगर आप कुछ ऊर्जा है, आप कुछ काम करते हैं,",joy,surprise,0.04360151290893555
urban blocks,शहरी खण्ड,शहरी पिण्डों के रंग,surprise,surprise,0.036193132400512695
It is a device made for scanning photographic film directly into a computer without the use of any intermediate printmaking.,यह एक तंत्र है जो बिना किसी बीच के मुद्रण वाले तंत्र के कंप्यूटर में सीधे छायाचित्रों वाली फिल्म को स्कैन करने के लिए बनाया गया है। ,"यह एक ऐसी किताब है, जिसमें फोटो - फिल्म सीधे कंप्यूटर पर बनायी जाती है ।",surprise,surprise,0.1602180302143097
Using ocrad binary:,ओसीआरएडी द्विचर उपयोग मेंः,ओसीआरएडी द्विचर उपयोग में:,surprise,surprise,0.14342358708381653
"Any narrow definition of democracy, which tries to ignore realities, can only mean the growth of political ideas which are anti - democratic.","लोकतंत्र की किसी संकीर्ण परिभाषा से, जो यथार्थ स्थिति की अनदेखी करती है, केवल यही नतीजा निकलेगा कि लोकतंत्र-विरोधी राजनैतिक विचार पनपेंगे। ","लोकतंत्र की कोई छोटी - सी परिभाषा, जो वास्तविकताओं को नज़रअंदाज़ करने की कोशिश करती है, केवल राजनैतिक विचारों की वृद्धि का अर्थ ही हो सकता है जो विरोधी - लोकतंत्र हैं ।",surprise,surprise,0.16383486986160278
Of his sin will be questioned that Day neither man nor jinn.,तो उस दिन न तो किसी इन्सान से उसके गुनाह के बारे में पूछा जाएगा न किसी जिन से,तो उस दिन न तो किसी इन्सान से उसके गुनाह के बारे में पूछा जाएगा न किसी जिन से,surprise,surprise,0.3303760290145874
"The male is similar to the female illustrated but has a gorget of two, more or less black bands complete instead of a single one slightly broken in the middle.","नर वैसे तो मादा जैसा होता है देखिए चित्र लेनि उसके गले में एक लड़ के बजाय दो या अधिक लड़ों की, बीच में टूटी, मनका सी होती हैं। ","इस स्त्री के समान है, लेकिन उसके दो या उससे कम काले दल बीच में एक छोटे से टुकड़े के बजाय पूरा होते हैं ।",surprise,surprise,0.09057915210723871
"The Path of Allah, to whom belongs all that is in the heavens and all that is in the earth. Surely, to Allah all things return.",(यानि) उसका रास्ता कि जो आसमानों में है और जो कुछ ज़मीन में है (ग़रज़ सब कुछ) उसी का है सुन रखो सब काम ख़ुदा ही की तरफ रूजू होंगे और वही फैसला करेगा,"उस अल्लाह के मार्ग की ओर जिसका वह सब कुछ है, जो आकाशों में है और जो धरती में है। सुन लो, सारे मामले अन्ततः अल्लाह ही की ओर पलटते हैं",surprise,surprise,0.013056278228759821
"Similarly, there are a few 'white dwarfs' below the main sequence.",इसी प्रकार मुख्य अनुक्रम के नीचे कुछ सफेद बौने भी हैं। ,"समान रूप से, मुख्य अनुक्रम के नीचे कुछ 'तेज' हैं.",surprise,joy,0.40766197443008423
Other Address Label,अन्य पता लेबल,अन्य पता लेबल,surprise,surprise,0.07661086320877075
constant demand,स्थिर मांग,निरन्तर मांग,surprise,surprise,0.05613189935684204
garbage can,कचरा डब्बा,कचरा,surprise,surprise,0.0521777868270874
Select Character,अक्षर चुनें,अक्षर चुनें,surprise,surprise,0.025928497314453125
Offset,ऑफसेट,ऑफसेट,surprise,surprise,0.24576598405838013
So which of the favors of your Lord would you deny?,अतः तुम दोनों अपने रब की अनुकम्पाओं में से किस-किस को झुठलाओगे? ,अतः तुम दोनों अपने रब की अनुकम्पाओं में से किस-किस को झुठलाओगे?,surprise,surprise,0.16506314277648926
scent,गमक,निकटस्थ,surprise,surprise,0.33934447169303894
The three of them lay down in the shade.,तीनों छाया में लेटे। ,और वह लोग बड़ी इज्ज़त से नेअमत के (लदे हुए),surprise,surprise,0.16076147556304932
1202,१२०२ ,1202,surprise,surprise,2.3841857904605135e-07
"Verily this is an Admonition: therefore, whoso will, let him take a (straight) path to his Lord!",निश्चय ही यह एक अनुस्मृति है। अब जो चाहे अपने रब की ओर मार्ग ग्रहण कर ले,निश्चय ही यह एक अनुस्मृति है। अब जो चाहे अपने रब की ओर मार्ग ग्रहण कर ले,surprise,surprise,0.005568206310272106
Here hs wears no garb of a Mumal or a Sasui or a Lila or a Nuri but reveals himself without any symbolic cover as a seeker of Truth and man of realisation.,"यहाँ वे मूमल या ससुई या लीला या नूरी के वेष में धारण नहीं करते और अपने को, किसी अभिव्यंजित करते हैं। ",यहाँ एक माँ या लीएल या नीला के कपड़े नहीं पहनते बल्कि अपने आप को सच्चाई और सच्चे धर्म के मनुष्य के रूप में किसी भी प्रतीकात्मक आवरण के बिना प्रकट करता है ।,surprise,surprise,0.1750240921974182
"He said, ""Did you see when we retired to the rock? Indeed, I forgot [there] the fish. And none made me forget it except Satan - that I should mention it. And it took its course into the sea amazingly"".","उसने कहा, ""ज़रा देखिए तो सही, जब हम उस चट्टान के पास ठहरे हुए थे तो मैं मछली को भूल ही गया-और शैतान ही ने उसको याद रखने से मुझे ग़ाफ़िल कर दिया-और उसने आश्चर्य रूप से दरिया में अपनी राह ली।"" ",(यूशा ने) कहा क्या आप ने देखा भी कि जब हम लोग (दरिया के किनारे) उस पत्थर के पास ठहरे तो मै (उसी जगह) मछली छोड़ आया और मुझे आप से उसका ज़िक्र करना शैतान ने भुला दिया और मछली ने अजीब तरह से दरिया में अपनी राह ली,fear,surprise,0.30678480863571167
campus,परिसर,श्रेणी,surprise,surprise,0.2376890778541565
_ Timeout:,समय समाप्त (_ T): ,समय समाप्ति: (_T),surprise,surprise,0.07173535227775574
Oruro,ओरुरोbolivia. kgm,ओरोरोusa. kgm,surprise,surprise,0.3378402590751648
white book,श्वेतपत्र,सफेद किताब,surprise,surprise,0.15865948796272283
He said that tremendous responsibilities would be entrusted on their shoulders at a very young age in civil services.,उन्होंने कहा कि सिविल सेवा में इतनी अल्पायु में उनके कंधों पर भारी जिम्मेदारी डाली जाएगी।,उसने कहा कि एक बहुत ही छोटी उम्र में सरकारी सेवाओं में उनके कंधों पर बहुत बड़ी ज़िम्मेदारियाँ रखी जाएँगी ।,surprise,surprise,0.08211600780487066
"Department of Administrative Reforms and Public Grievances (DARPG), the administrative department for CPGRAMS has prescribed guidelines with respect to disposal of Public grievances.","प्रशासनिक सुधार और लोक शिकायत विभाग (DARPG), जो CPGRAMS का प्रशासनिक विभाग है, उन्होंने लोक शिकायतों के निपटान के लिए दिशानिर्देश निर्धारित किए हैं।",सरकारी शिकायतों का सामना करने के लिए प्रशासनिक सोसाइटी ने कुछ निर्देश दिए हैं ।,surprise,surprise,0.015408247709274236
"The poor also are willing to make, and do make, smart decisions,","गरीब भी बढिया फ़ैसले लेना चाहते हैं, ","कंगाल भी बनाने को तैयार रहते हैं, और बुद्धिमान निर्णय करते हैं,",surprise,surprise,0.2979544699192047
I think that is a serious thing because it means that a poor person may not be able to contest elections.,मैं समझती हूं कि यह एक गम्भीर मसला है क्योंकि इसका अर्थ यह हुआ कि गरीब आदमी चुनाव नहीं लड़ सकता। ,मुझे लगता है कि यह एक गंभीर बात है क्योंकि इसका अर्थ है कि एक ग़रीब व्यक्‍ति चुनाव करने में समर्थ नहीं हो सकता ।,surprise,surprise,0.0032842159271241345
"And when they (Jews) meet those who believe (Muslims), they say, ""We believe"", but when they meet one another in private, they say, ""Shall you (Jews) tell them (Muslims) what Allah has revealed to you [Jews, about the description and the qualities of Prophet Muhammad Peace be upon him, that which are written in the Taurat (Torah)], that they (Muslims) may argue with you (Jews) about it before your Lord?"" Have you (Jews) then no understanding?","और जब वे ईमान लानेवाले से मिलते है तो कहते हैं, ""हम भी ईमान रखते हैं"", और जब आपस में एक-दूसरे से एकान्त में मिलते है तो कहते है, ""क्या तुम उन्हें वे बातें, जो अल्लाह ने तुम पर खोली, बता देते हो कि वे उनके द्वारा तुम्हारे रब के यहाँ हुज्जत में तुम्हारा मुक़ाबिला करें? तो क्या तुम समझते नहीं!"" ","और जब वे ईमान लानेवाले से मिलते है तो कहते हैं, ""हम भी ईमान रखते हैं"", और जब आपस में एक-दूसरे से एकान्त में मिलते है तो कहते है, ""क्या तुम उन्हें वे बातें, जो अल्लाह ने तुम पर खोली, बता देते हो कि वे उनके द्वारा तुम्हारे रब के यहाँ हुज्जत में तुम्हारा मुक़ाबिला करें? तो क्या तुम समझते नहीं!""",surprise,surprise,0.03846710920333862
Surxondaryo,सोन्द्रियोitalyprovince. kgm,कुलंxogiogorican_ republic. kgm,surprise,surprise,0.5092892050743103
familiar with them.,उन लोगों के साथ परिचित। ,उनसे भली-भाँति परिचित है।,joy,joy,0.05338031053543091
"Khayalistan popularised the new genre called Adab - i - Lateef, which was originally the translation of Light Literature.",यह मूल रूप में हलके-फुलके साहित्य का अनुवाद था। ,"केन्यासूची ने ऐथथ - इंफ नाम के नए आविष्कार को मशहूर कर दिया, जो शुरू में प्रकाश - साहित्य का अनुवाद था ।",surprise,surprise,0.4383423328399658
Couldn 't access trash.,रद्दी पर पंहुच नहीं सका. ,रद्दी पर पंहुच नहीं सका.,surprise,surprise,0.1648527979850769
America / Tijuana,अमेरिका/तिजुआना,अमेरिका/तिजुआना,surprise,surprise,0.011216610670089722
abandonment of claim,दावे का परित्याग,दावे का त्याग,surprise,surprise,0.023306310176849365
The local officials even used their discretion in protecting the rights of the wild tribes inhabiting these lands.,स्थानीय अधिकारी भी इस प्रकार की भूमि के निवासी जनजातियों के अधिकारों की रक्षा में अपनी इच्छानुसार व्यवहार करते थे। ,यहाँ तक कि स्थानीय अधिकारी इन देशों में रह रहे जंगली गोत्रों के अधिकारों की रक्षा करने में अपनी बुद्धिमानी का इस्तेमाल भी करते थे ।,surprise,surprise,0.05524873733520508
Mauve,Mauve,राउव,surprise,surprise,0.26841992139816284
"In recent years, both India and Mexico have emerged as dynamic economies.","हाल के वर्षों में, भारत और मैक्सिको दोनों गतिशील अर्थव्यवस्थाओं के रूप में उभरे हैं।",हाल के सालों में भारत और मेक्सिको दोनों बड़े - बड़े देश बन गए हैं ।,surprise,surprise,0.036622077226638794
Enter Hell now to abide in it. How woeful is the abode of those who wax proud!,"अब जहन्नुम के दरवाज़े में दाख़िल हो जाओ (और) हमेशा उसी में (पड़े) रहो, ग़रज़ तकब्बुर करने वालों का भी (क्या) बुरा ठिकाना है","प्रवेश करो जहन्नम के द्वारों में, उसमे सदैव रहने के लिए।"" अतः बहुत ही बुरा ठिकाना है अहंकारियों का!",surprise,fear,0.10535573959350586
"Say: 'Come, I will recite what your Lord has forbidden you: that you associate not anything with Him, and to be good to your parents, and not to slay your children because of poverty; We will provide you and them and that you approach not any indecency outward or inward, and that you slay not the soul God has forbidden, except by right. That then He has charged you with; haply you will understand.","कह दो, ""आओ, मैं तुम्हें सुनाऊँ कि तुम्हारे रब ने तुम्हारे ऊपर क्या पाबन्दियाँ लगाई हैः यह कि किसी चीज़ को उसका साझीदार न ठहराओ और माँ-बाप के साथ सद्व्य वहार करो और निर्धनता के कारण अपनी सन्तान की हत्या न करो; हम तुम्हें भी रोज़ी देते है और उन्हें भी। और अश्लील बातों के निकट न जाओ, चाहे वे खुली हुई हों या छिपी हुई हो। और किसी जीव की, जिसे अल्लाह ने आदरणीय ठहराया है, हत्या न करो। यह और बात है कि हक़ के लिए ऐसा करना पड़े। ये बाते है, जिनकी ताकीद उसने तुम्हें की है, शायद कि तुम बुद्धि से काम लो। ","कह दो, ""आओ, मैं तुम्हें सुनाऊँ कि तुम्हारे रब ने तुम्हारे ऊपर क्या पाबन्दियाँ लगाई है: यह कि किसी चीज़ को उसका साझीदार न ठहराओ और माँ-बाप के साथ अच्छा व्यवहार न करना और न अपनी सन्तान की हत्या करना। हम तुम्हें भी रोज़ी देते है, और उन्हें भी। और अश्लील बातों के निकट न जाओ, चाहे वे खुली हुई हों या छिपी हुई हो। और किसी जीव की, जिसे अल्लाह ने आदरणीय ठहराया है, हत्या न करो। यह और बात है कि हक़ के लिए ऐसा करना पड़े। ये बाते है, जिनकी ताकीद उसने तुम्हें की है, शायद कि तुम बुद्धि से काम लो।",love,surprise,0.39627279341220856
An SCA would be identified for one or more districts (one district would cover 100 - 200 CSCs).,प्रथम स्तर पर ग्राम स्तरीय उद्यमी होंगे जो 5-6 गाँव के ग्रामीण उपभोक्ताओं को एक स्थान पर (लेकिन तमिलनाडु सरकार ने प्रत्येक 3 गाँव के लिए 1 साझा सेवा केन्द्र स्थापना की योजना बनायी है) सेवाएँ उपलब्ध करायेगी। ,एक - से - ज़्यादा ज़िला (एक ज़िला) की पहचान की जाएगी ।,surprise,surprise,0.02669084072113037
"Similar programmes exist for writers, artists, grass root innovators, NIT students and inspired teachers.","ऐसे ही कार्यक्रम लेखकों, कलाकारों, बुनियादी नवान्वेषकों, राष्ट्रीय प्रौद्योगिकी संस्थानों के विद्यार्थियों तथा प्रेरित अध्यापकों के लिए विद्यमान हैं।","लेखकों, कलाकारों, घास की जड़, नीत विद्यार्थियों और उत्प्रेरित शिक्षकों के लिए इसी तरह के कार्यक्रम मौजूद हैं ।",surprise,surprise,0.16381689906120306
"It is true that Iswarchandra opposed some of the social reforms of the day like widow remarriage, but he was not opposed to any and every progressive measure as such.","यह सच है कि, ईश्वरचन्द्र गुप्त ने उस समय विधवा पुनर्विवाह जैसे कुछ सामाजिक सुधारों का विरोध किया, लेकिन किसी खास या सभी प्रगतिशील कदमों से उनकी विरोध न था। ","यह सच है कि वार्मा ने विधवा रीमिंग जैसे दिन के कुछ सामाजिक सुधारों का विरोध किया, लेकिन वह किसी भी तरह की उन्‍नति का विरोध नहीं कर रहा था ।",surprise,surprise,0.07496669888496399
panda,पाँडा बिल्ली,पांडा,surprise,surprise,0.021438688039779663
Highest; at the very top; uppermost.,उच्चतम; सबसे ऊपर का; ऊपरवाला. ,(यानि) पसन्दीदा मक़ाम में हर तरह की कुदरत रखने वाले बादशाह की बारगाह में (मुक़र्रिब) होंगे,surprise,surprise,0.48510718345642095
Nicolas Léonard Sadi Carnot,सादी कार्नो ,निकोलस लानर्ड सैरी कारन,sadness,sadness,0.5177937150001526
05 minutes,05 मिनट,05 मिनट,surprise,surprise,0.029076546430587824
"I do hope that, as you said, we shall contest every Muslim seat.","जैसा कि आपने कहा है, मुझे पूरी आशा है कि हम हर मुस्लिम बैठक के लिए लडेंगे। ","मैं आशा करता हूं, कि जैसा तू ने कहा है, कि हम हर एक मुसलमान आसन से युठ्ठ करेंगे।",joy,sadness,0.012447595596313477
“And wait – we too are waiting. ”,"तुम भी प्रतीक्षा करो, हम भी प्रतीक्षा कर रहे है। ""","“ और प्रतीक्षा करो, हम भी प्रतीक्षा कर रहे हैं । ”",surprise,surprise,0.03296905755996704
"When disturbed or alarmed, this beetle explodes a malodorous and caustic volatile liquid, with a loud report, from its anal end and makes good its escape, leaving behind an utterly confused enemy, overcome by acrid fumes.",छेड़े जाने या डराए जाने पर यह भृंग अपनी गुदा के सिरे से एक दुर्गंधयुक्त और दाहक वाष्पशील द्रव जोरदार धमाके से निकालता है और भाग निकलता है तथा पीछे रह जाता है तीखे धुएं से पराजित एकदम भ्रमित शत्रु। ,"जब यह विस्फोट होता है या डर के मारे, तब यह विस्फोट - भरी और श्‍वेत हो जाता है, जिसमें एक ज़ोरदार रिपोर्ट होती है, और उसके अन्त से बचाव करता है, और एक पूरी उलझन में पड़े हुए दुश्‍मन के पीछे भाग जाता है, और एक पूरी तरह से भाग जाता है ।",surprise,surprise,0.519615113735199
"When Shekhar came back that evening, she reported to him all about her futile exercise.",शाम को शेखर के लौटने पर उसने सुबह का अपना अनभव बयान किया। ,"जब शैर्कर उस शाम वापस आयी, तो उसने उसे अपनी बेकार की कसरत के बारे में बताया ।",surprise,surprise,0.43632209300994873
Symbol Database,प्रतीक डेटाबेस,प्रतीक डेटाबेस,surprise,surprise,0.12425172328948975
analytical study,विश्लेषणात्मक अध्ययन,एक निराला अध्ययन,surprise,surprise,0.40095198154449463
fatuous,ऊटपटाँग,मोटा,surprise,surprise,0.0947953462600708
"""As for the youth, his parents were people of Faith, and we feared that he would grieve them by obstinate rebellion and ingratitude (to Allah and man).","और रहा वह लड़का, तो उसके माँ-बाप ईमान पर थे। हमें आशंका हुई कि वह सरकशी और कुफ़्र से उन्हें तंग करेगा","और रहा वह लड़का, तो उसके माँ-बाप ईमान पर थे। हमें आशंका हुई कि वह सरकशी और कुफ़्र से उन्हें तंग करेगा",fear,surprise,0.1090269684791565
boxing,बॉक्सिंग,बॉक्सिंग,surprise,surprise,0.014850080013275146
carefree,अचिंत,सुरक्षा- फ्री,surprise,surprise,0.05643707513809204
lady finger,भिंडी,महिला अंगुली,surprise,surprise,0.049023389816284235
"Of course, I can and do envisage a State where the police will not be necessary; but whether we shall succeed in realizing it, the future alone will show.","अवश्य ही मैं ऐसे राज्य की कल्पना कर सकता हूं और कता हूं, जिसमें पुलिस की जरूरत नहीं होगीः परन्तु यह कल्पना सफल होगी या नहीं, यह तो भविष्य ही बतायेगा। ","लेकिन अगर हम इसे समझने में कामयाब होंगे, तो सिर्फ मैं ही भविष्य दिखाएगा ।",surprise,surprise,0.21792387962341309
"upon those rest blessings and mercy from their Lord, and those - - they are the truly guided.",यही लोग है जिनपर उनके रब की विशेष कृपाएँ है और दयालुता भी; और यही लोग है जो सीधे मार्ग पर हैं,उन्हीं लोगों पर उनके परवरदिगार की तरफ से इनायतें हैं और रहमत और यही लोग हिदायत याफ्ता है,love,love,0.5688327848911285
bosom,वाम,छाती,surprise,surprise,0.08488655090332031
Main memory,मुख्य मेमोरी,मुख्य मेमोरी,surprise,surprise,0.06162342429161066
"but they had to do it like the West, right? Because we are setting up leagues.","लेकिन उन्हें ये सब पाश्चात्य तरीके से करना था, है न? क्योंकि हम लीग की नीव रख रहे थे. ","लेकिन वे इसे पश्चिम की तरह करना था, है ना? क्योंकि हम वाचा स्थापित कर रहे हैं.",surprise,surprise,0.16070261597633367
"The whole of the case of the Sind Hindu Sabha is a negation of the principle of democracy, except in so far as joint electorates are demanded.",मिले-जुले चुनाव कराने की मांग के अलावा सिंध हिंदू महासभा का सारा मामला लोकतंत्र के उसूलों के खिलाफ है। ,"पापित हिंदू स्ना के मामले का पूरा अर्थ लोकतंत्र के सिद्धांत का अभाव है, सिवाय अब तक के संयुक्‍त चुनावों की माँग की जाती है ।",surprise,surprise,0.0731239914894104
"This might strike you as a strange career move,","यह आपको एक अजीब व्यवसाय लगेगा, ","यह आपको एक अजीब करियर के रूप में हड़ताल कर सकता है,",surprise,surprise,0.017144620418548473
Display iPod properties iPod,विशेषताएँ दिखाएँ,iPod गुण दिखाएँ,surprise,surprise,0.1370563507080078
shapeless,बेडौल,आकार- रहित,surprise,surprise,0.1271645426750183
calm,शांत होना,शांत,surprise,surprise,0.04708120226860041
"Who avoid the deadly sins, immoral acts, and forgive when they are angered,",और जो लोग बड़े बड़े गुनाहों और बेहयाई की बातों से बचे रहते हैं और ग़ुस्सा आ जाता है तो माफ कर देते हैं,जो बड़े-बड़े गुनाहों और अश्लील कर्मों से बचते है और जब उन्हे (किसी पर) क्रोध आता है तो वे क्षमा कर देते हैं;,anger,anger,0.3861919045448302
Wrap outgoing text at,बाहर जाने वाले टेक्स्ट को,बाहर जाने वाले टेक्स्ट को,surprise,surprise,0.2677188515663147
kanjirappally,कन्जिरपल्ली,"किचिनीर ""% 1""",surprise,surprise,0.021088838577270508
It was something of a miraculous nature that brought about this marriage.,"शाह लतीफ की शादी कैसे हुई, यह भी एक विस्मयकारी बात है। ",यह एक चमत्कारिक स्वभाव का था जिसने इस विवाह के बारे में लाया ।,surprise,surprise,0.25321346521377575
"therein calling for every fruit, secure.",वे वहाँ निश्चिन्तता के साथ हर प्रकार के स्वादिष्ट फल मँगवाते होंगे,वे वहाँ निश्चिन्तता के साथ हर प्रकार के स्वादिष्ट फल मँगवाते होंगे,surprise,surprise,0.390514999628067
Asia / Anadyr,एशिया/एनाडिर,एशिया/एनाडिर,surprise,anger,0.02243062853813166
Classification:,वर्गीकरणः,वर्गीकरण:,surprise,surprise,0.06339398026466375
A container for putting things in it.,ऐसा पात्र जिसमें सामान रखा जा सके। ,उसमें चीज़ों को रखने के लिए एक कंटेनर.,surprise,surprise,0.14987272024154663
"Had We willed, We would have made of you angels to be successors on earth.","और यदि हम चाहते हो तुममें से फ़रिश्ते पैदा कर देते, जो धरती में उत्ताराधिकारी होते",और अगर हम चाहते तो तुम ही लोगों में से (किसी को) फ़रिश्ते बना देते जो तुम्हारी जगह ज़मीन में रहते,surprise,surprise,0.3364696502685547
smallness,छोटापन,छोटानेस,surprise,surprise,0.009826838970184326
"If the court finds that the nuisance existed at the date of making the complaint, they will award you the reasonable costs incurred by you in bringing the action against the noise maker.",यदि कोर्ट यह निश्चित करे कि शिकायत करने के दिन शांति भंग की अवस्था विद्यमान थी तो वह आप को शोर करने वाले के विरुद्ध केस करने में हुए खर्च के लिए समुचित लागत दिए जाने का आदेश देगा। ,"यदि अदालत को पता चलता है कि शिकायत करने की तारीख पर विवाद किया गया था, तो वे आप पर ध्वनि निर्माता के खिलाफ कार्यवाही लाने के लिए उचित लागत मिलेंगे.",surprise,surprise,0.018621861934661865
"Perfection is achieved, not when there is nothing more to add, but when there is nothing left to take away.","उत्कृष्टता की सिद्धि तब नहीं होती जब कुछ और जोड़ना या लगाना बाकी नहीं रह जाए, बल्कि तब होती है जब कुछ हटाने के लिये नहीं बचे। ","लेकिन जब दूर जाने के लिए कुछ भी बाक़ी नहीं रह जाता, तब पूर्ण रूप से नहीं हासिल होता है ।",surprise,surprise,0.2526584267616272
Such items of trade which are not visible but traded.,ऐसे मद जिनका व्यापार तो होता है लेकिन जो दिखाई नहीं देते। ,व्यापार की ऐसी वस्तुएँ जो दृश्‍य नहीं बल्कि व्यापार हैं ।,surprise,surprise,0.07189822196960449
& View Mode,दृश्य मोड (V) ,दृश्य मोड (V),surprise,surprise,0.08347502350807195
So eight plus eight is sixteen.,तो 8 जमा 8 है 16. ,8 जमा 8 है 16.,surprise,surprise,0.023759692907333374
"It is, however, the preliminary stage which posits a bigger challenge for innovators, entrepreneurs, financiers and policy-makers alike.","इसलिए नवान्वेषकों,उद्यमियों, वित्त प्रदाताओं तथा नीति निर्माताओं की शुरुआती बड़ी चुनौती एक जैसी होती है।","लेकिन, यह प्राथमिक मंच है जो नोवेटरों के लिए एक बड़ी चुनौती डालता है... / मैं",surprise,surprise,0.20488613843917847
Could not create folder '% s':% s,फ़ोल्डर '% s' निर्मित नहीं कर सकाः% s,'%s' फ़ोल्डर निर्मित नहीं सका: %s,surprise,surprise,0.1331285536289215
Tigris,दजला नदी,टिग्रिस,surprise,anger,0.04274249076843262
It disables / enables the repeated prompts to warn that you are trying to send a message to recipients not entered as mail addresses,यह पुनरावृत्त संवाद को निष्क्रिय/सक्षम करके चेतावनी देता है की आप बिना दर्ज किया डाक पते वाले प्राप्तकर्ताओं को संदेश भेजने की कोशिश कर रहे हैं,यह पुनरावृत्त संवाद को निष्क्रिय/सक्षम करके चेतावनी देता है की आप बिना दर्ज किया डाक पते वाले प्राप्तकर्ताओं को संदेश भेजने की कोशिश कर रहे हैं,surprise,surprise,0.044832050800323486
Magnetic disk unit,चुंबकीय चक्रिका एकक,आणविक डिस्क इकाई,surprise,surprise,0.02125868201255804
Initial scale on the Y axis,Y अक्ष पर आरंभिक स्केल,Y अक्ष पर आरंभिक स्केल,surprise,surprise,0.4787633717060089
The state of being sane.,स्वस्थचित्त होने की अवस्था,सेन की स्थिति.,surprise,surprise,0.1391890943050384
"It is the privilege of Kerala to herald varsha 's arrival into the country, around the first week of June.",जून के पहले सप्ताह में देश में वर्षा के आगमन की शुभ सूचना का संदेशवाहक केरल होता है। ,यह जून के पहले सप्ताह के दौरान देश में आने वाले केरल के लिए विशेषाधिकार है.,surprise,surprise,0.013510584831237793
"(1) If the President, on receipt of a report from the Governor of a State or otherwise, is satisfied that a situation has arisen in which the Government of the State cannot be carried on in accordance with the provisions of this Constitution, the President may by Proclamation—","(1) यदि राष्ट्रपति का किसी राज्य के राज्यपाल से प्रतिवेदन मिलने पर या अन्यथा, यह समाधान हो जाता है कि ऐसी स्थिति उत्पन्न हो गई है जिसमें उस राज्य का शासन इस संविधान के उपबंधों के अनुसार नहीं चलाया जा सकता है तो राष्ट्रपति उद्घोषणा द्वारा—","( 1) राष्ट्रपति, किसी सरकार के गवर्नर से एक रिपोर्ट की रसीद पर, संतुष्ट है कि एक स्थिति स्थापित हो गई है जिसमें सरकार की सरकार इस संविधान के प्रबंधों के अनुरूप नहीं किया जा सकता है, राष्ट्रपति की घोषणा द्वारा -",surprise,surprise,0.20914891362190252
Its Interface available in Hindi as well.,इसका इण्टरफेस हिन्दी में भी उपलब्ध है। ,हिन्दी में इसका इंटरफेस भी उपलब्ध है ।,surprise,surprise,0.02381959557533264
"when you can do long - term planning,","तब आप दूरगामी योजनायें बना सकते हैं, ",जबकि तुम घमंडी और ग़ाफिल हो,surprise,fear,0.06333965063095098
Cape May,"केप मेCity name (optional, probably does not need a translation) ",केप माया,surprise,love,0.320187121629715
"Have you not seen how Allah has created the seven heavens in layers,",क्या तुमने ग़ौर नहीं किया कि ख़ुदा ने सात आसमान ऊपर तलें क्यों कर बनाए,क्या तुमने ग़ौर नहीं किया कि ख़ुदा ने सात आसमान ऊपर तलें क्यों कर बनाए,surprise,surprise,0.18281465768814087
construction of worksheds,वर्कशेड निर्माण,पहले से तैयार किए गए काम,surprise,surprise,0.31642767786979675
propneustic,अग्र रंध्री,संरक्षाक,surprise,surprise,0.0553816556930542
